user_id,game_id,score_1_0,place_1_0,score_1_1,place_1_1,score_1_2,place_1_2,score_1_3,place_1_3,score_1_4,place_1_4,score_2_0,place_2_0,score_2_1,place_2_1,score_2_2,place_2_2,score_2_3,place_2_3,score_2_4,place_2_4,score_3_0,place_3_0,score_3_1,place_3_1,score_3_2,place_3_2,score_3_3,place_3_3,score_3_4,place_3_4,score_4_0,place_4_0,score_4_1,place_4_1,score_4_2,place_4_2,score_4_3,place_4_3,score_4_4,place_4_4,score_5_0,place_5_0,score_5_1,place_5_1,score_5_2,place_5_2,score_5_3,place_5_3,score_5_4,place_5_4,score_6_0,place_6_0,score_6_1,place_6_1,score_6_2,place_6_2,score_6_3,place_6_3,score_6_4,place_6_4
10189,235,4,5,4,2,4,5,1,3,3,4,16,5,21,2,17,4,4,3,3,4,103,5,105,2,110,1,102,1,86,1,27,5,32,3,29,3,33,2,33,1,8,5,8,6,10,6,11,6,18,6,158,5,170,1,170,2,151,3,143,4
10672,235,4,5,4,2,4,5,1,3,3,4,16,5,21,2,17,4,4,3,3,4,103,5,105,2,110,1,102,1,86,1,27,5,32,3,29,3,33,2,33,1,8,5,8,6,10,6,11,6,18,6,158,5,170,1,170,2,151,3,143,4
10565,235,4,5,4,2,4,5,1,3,3,4,16,5,21,2,17,4,4,3,3,4,103,5,105,2,110,1,102,1,86,1,27,5,32,3,29,3,33,2,33,1,8,5,8,6,10,6,11,6,18,6,158,5,170,1,170,2,151,3,143,4
10295,235,4,5,4,2,4,5,1,3,3,4,16,5,21,2,17,4,4,3,3,4,103,5,105,2,110,1,102,1,86,1,27,5,32,3,29,3,33,2,33,1,8,5,8,6,10,6,11,6,18,6,158,5,170,1,170,2,151,3,143,4
10290,235,4,5,4,2,4,5,1,3,3,4,16,5,21,2,17,4,4,3,3,4,103,5,105,2,110,1,102,1,86,1,27,5,32,3,29,3,33,2,33,1,8,5,8,6,10,6,11,6,18,6,158,5,170,1,170,2,151,3,143,4
10018,237,4,2,6,2,16,2,17,2,37,1,16,2,25,2,43,2,40,3,36,3,103,2,52,5,76,2,79,2,105,1,27,2,27,3,31,2,32,3,34,3,8,2,13,3,16,3,19,5,25,6,158,2,123,3,182,2,187,3,237,1
10400,237,4,2,6,2,16,2,17,2,37,1,16,2,25,2,43,2,40,3,36,3,103,2,52,5,76,2,79,2,105,1,27,2,27,3,31,2,32,3,34,3,8,2,13,3,16,3,19,5,25,6,158,2,123,3,182,2,187,3,237,1
10912,237,4,2,6,2,16,2,17,2,37,1,16,2,25,2,43,2,40,3,36,3,103,2,52,5,76,2,79,2,105,1,27,2,27,3,31,2,32,3,34,3,8,2,13,3,16,3,19,5,25,6,158,2,123,3,182,2,187,3,237,1
10821,237,4,2,6,2,16,2,17,2,37,1,16,2,25,2,43,2,40,3,36,3,103,2,52,5,76,2,79,2,105,1,27,2,27,3,31,2,32,3,34,3,8,2,13,3,16,3,19,5,25,6,158,2,123,3,182,2,187,3,237,1
10043,237,4,2,6,2,16,2,17,2,37,1,16,2,25,2,43,2,40,3,36,3,103,2,52,5,76,2,79,2,105,1,27,2,27,3,31,2,32,3,34,3,8,2,13,3,16,3,19,5,25,6,158,2,123,3,182,2,187,3,237,1
10571,237,4,2,6,2,16,2,17,2,37,1,16,2,25,2,43,2,40,3,36,3,103,2,52,5,76,2,79,2,105,1,27,2,27,3,31,2,32,3,34,3,8,2,13,3,16,3,19,5,25,6,158,2,123,3,182,2,187,3,237,1
10580,194,4,4,6,3,-1,5,-4,4,-4,4,16,4,25,3,5,5,-29,4,-8,4,103,4,106,2,64,4,49,5,60,4,27,4,33,3,35,3,9,6,26,4,8,4,8,5,12,5,19,6,26,6,158,4,178,3,115,5,44,5,100,4
10798,194,4,4,6,3,-1,5,-4,4,-4,4,16,4,25,3,5,5,-29,4,-8,4,103,4,106,2,64,4,49,5,60,4,27,4,33,3,35,3,9,6,26,4,8,4,8,5,12,5,19,6,26,6,158,4,178,3,115,5,44,5,100,4
10785,194,4,4,6,3,-1,5,-4,4,-4,4,16,4,25,3,5,5,-29,4,-8,4,103,4,106,2,64,4,49,5,60,4,27,4,33,3,35,3,9,6,26,4,8,4,8,5,12,5,19,6,26,6,158,4,178,3,115,5,44,5,100,4
10152,194,4,4,6,3,-1,5,-4,4,-4,4,16,4,25,3,5,5,-29,4,-8,4,103,4,106,2,64,4,49,5,60,4,27,4,33,3,35,3,9,6,26,4,8,4,8,5,12,5,19,6,26,6,158,4,178,3,115,5,44,5,100,4
10777,194,4,4,6,3,-1,5,-4,4,-4,4,16,4,25,3,5,5,-29,4,-8,4,103,4,106,2,64,4,49,5,60,4,27,4,33,3,35,3,9,6,26,4,8,4,8,5,12,5,19,6,26,6,158,4,178,3,115,5,44,5,100,4
10600,262,4,1,14,1,-20,6,25,1,-1,2,16,1,49,1,-43,6,79,1,33,1,103,1,97,2,47,6,54,6,52,5,27,1,42,1,25,4,50,1,34,3,8,1,11,4,18,3,26,3,31,5,158,1,213,1,27,6,234,1,149,2
10279,262,4,1,14,1,-20,6,25,1,-1,2,16,1,49,1,-43,6,79,1,33,1,103,1,97,2,47,6,54,6,52,5,27,1,42,1,25,4,50,1,34,3,8,1,11,4,18,3,26,3,31,5,158,1,213,1,27,6,234,1,149,2
10398,262,4,1,14,1,-20,6,25,1,-1,2,16,1,49,1,-43,6,79,1,33,1,103,1,97,2,47,6,54,6,52,5,27,1,42,1,25,4,50,1,34,3,8,1,11,4,18,3,26,3,31,5,158,1,213,1,27,6,234,1,149,2
10019,262,4,1,14,1,-20,6,25,1,-1,2,16,1,49,1,-43,6,79,1,33,1,103,1,97,2,47,6,54,6,52,5,27,1,42,1,25,4,50,1,34,3,8,1,11,4,18,3,26,3,31,5,158,1,213,1,27,6,234,1,149,2
10955,262,4,1,14,1,-20,6,25,1,-1,2,16,1,49,1,-43,6,79,1,33,1,103,1,97,2,47,6,54,6,52,5,27,1,42,1,25,4,50,1,34,3,8,1,11,4,18,3,26,3,31,5,158,1,213,1,27,6,234,1,149,2
10902,262,4,1,14,1,-20,6,25,1,-1,2,16,1,49,1,-43,6,79,1,33,1,103,1,97,2,47,6,54,6,52,5,27,1,42,1,25,4,50,1,34,3,8,1,11,4,18,3,26,3,31,5,158,1,213,1,27,6,234,1,149,2
10112,219,4,2,3,3,10,3,20,1,21,1,16,2,14,4,17,3,36,1,33,1,103,2,75,2,68,2,65,2,60,1,27,2,27,4,21,5,26,2,24,3,8,2,14,2,31,3,40,4,56,3,158,2,133,3,147,3,187,2,194,1
10074,219,4,2,3,3,10,3,20,1,21,1,16,2,14,4,17,3,36,1,33,1,103,2,75,2,68,2,65,2,60,1,27,2,27,4,21,5,26,2,24,3,8,2,14,2,31,3,40,4,56,3,158,2,133,3,147,3,187,2,194,1
10528,219,4,2,3,3,10,3,20,1,21,1,16,2,14,4,17,3,36,1,33,1,103,2,75,2,68,2,65,2,60,1,27,2,27,4,21,5,26,2,24,3,8,2,14,2,31,3,40,4,56,3,158,2,133,3,147,3,187,2,194,1
10729,219,4,2,3,3,10,3,20,1,21,1,16,2,14,4,17,3,36,1,33,1,103,2,75,2,68,2,65,2,60,1,27,2,27,4,21,5,26,2,24,3,8,2,14,2,31,3,40,4,56,3,158,2,133,3,147,3,187,2,194,1
10016,219,4,2,3,3,10,3,20,1,21,1,16,2,14,4,17,3,36,1,33,1,103,2,75,2,68,2,65,2,60,1,27,2,27,4,21,5,26,2,24,3,8,2,14,2,31,3,40,4,56,3,158,2,133,3,147,3,187,2,194,1
10607,219,4,2,3,3,10,3,20,1,21,1,16,2,14,4,17,3,36,1,33,1,103,2,75,2,68,2,65,2,60,1,27,2,27,4,21,5,26,2,24,3,8,2,14,2,31,3,40,4,56,3,158,2,133,3,147,3,187,2,194,1
10338,219,4,2,3,3,10,3,20,1,21,1,16,2,14,4,17,3,36,1,33,1,103,2,75,2,68,2,65,2,60,1,27,2,27,4,21,5,26,2,24,3,8,2,14,2,31,3,40,4,56,3,158,2,133,3,147,3,187,2,194,1
10610,202,4,1,4,4,0,4,1,5,9,4,16,1,17,4,9,4,-3,5,12,3,103,1,105,2,56,6,67,3,69,5,27,1,30,6,28,3,24,3,31,2,8,1,8,4,15,4,24,4,32,3,158,1,164,5,108,4,113,5,153,3
